skill_1,skill_2,similarity
data_engineering_pipelines__intermediate_prob,db_storage__advanced_prob,0.1824560927120032
data_engineering_pipelines__intermediate_prob,db_storage__basic_prob,0.330143429779347
data_engineering_pipelines__intermediate_prob,db_storage__intermediate_prob,0.336830613262173
data_engineering_pipelines__intermediate_prob,productivity_workflow__intermediate_prob,0.251076868737261
data_engineering_pipelines__intermediate_prob,soft_skills__leadership_prob,0.29417458425714565
db_storage__advanced_prob,db_storage__intermediate_prob,0.18033501681842293
db_storage__basic_prob,db_storage__intermediate_prob,0.3758445494416082
db_storage__basic_prob,soft_skills__leadership_prob,0.29491655692932706
domain_specific__none_prob,soft_skills__core_prob,0.33009768850316895
domain_specific__none_prob,soft_skills__leadership_prob,0.23159425700616657
ml_ai__advanced_prob,ml_ai__basic_prob,0.3564450400937362
ml_ai__advanced_prob,ml_ai__intermediate_prob,0.40406147924295505
ml_ai__advanced_prob,productivity_workflow__advanced_prob,0.13764073238950597
ml_ai__basic_prob,ml_ai__intermediate_prob,0.39207862118132153
ml_ai__basic_prob,soft_skills__core_prob,0.22921001440528946
ml_ai__intermediate_prob,soft_skills__core_prob,0.24128699173301352
productivity_workflow__advanced_prob,productivity_workflow__basic_prob,0.1484990359086235
productivity_workflow__advanced_prob,soft_skills__core_prob,0.21678317687839335
productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,0.2244663050777219
productivity_workflow__basic_prob,soft_skills__leadership_prob,0.21988729899521597
productivity_workflow__intermediate_prob,soft_skills__leadership_prob,0.2419307750712799
soft_skills__core_prob,soft_skills__leadership_prob,0.4630772622042113
